hashtags/0,mentions/0,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/location/lat,user/location/long,user/id,user/friends,sentient,urls/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,urls/1,mentions/1,mentions/2,urls/2
BrooklynGrit,Sean A. Malcolm,-736718848,RT @BySeanMalcolm: The @BrooklynNets are better than their record indicates. I don’t care. I don’t care. I don’t care. #BrooklynGrit #Kings…,Mike Vazquez,https://pbs.twimg.com/profile_images/937863692431093760/YVa2Pd3G_normal.jpg,323,mikevazquez__,Xaverian ‘18 // Varsity Cross Country and Track // Diehard Brooklyn Nets Fan,Sun Jan 16 04:52:56 +0000 2011,40.739446,-73.8333651,238840919,631,0,,,,,,,,,,Brooklyn Nets,,
BrooklynGrit,Sean A. Malcolm,978817024,RT @BySeanMalcolm: The @BrooklynNets are better than their record indicates. I don’t care. I don’t care. I don’t care. #BrooklynGrit #Kings…,Estivan D,https://pbs.twimg.com/profile_images/923669610808963073/OllnLd0L_normal.jpg,273,disworldis_MINE,"IG - mylegendbegins. Bred in Brooklyn. NYC does it best, no matter if Kendrick is the king or not. God is ❤️. #Channel12News🎥",Tue Feb 16 04:36:17 +0000 2010,,,114648765,347,0,,,,,,,,,,Brooklyn Nets,,
BrooklynGrit,Sean A. Malcolm,873975808,RT @BySeanMalcolm: The @BrooklynNets are better than their record indicates. I don’t care. I don’t care. I don’t care. #BrooklynGrit #Kings…,NetsDaily.com,https://pbs.twimg.com/profile_images/859082516174692353/cDeskN86_normal.jpg,21769,NetsDaily,The most comprehensive source for Brooklyn Nets news on the web. (Tweets by Net Income),Wed May 13 14:48:33 +0000 2009,,,39764121,723,0,,,,,,,,,,Brooklyn Nets,,
BrooklynGrit,Brooklyn Nets,433577987,The @BrooklynNets are better than their record indicates. I don’t care. I don’t care. I don’t care. #BrooklynGrit #KingsCounty #Nets,Sean A. Malcolm,https://pbs.twimg.com/profile_images/901478906485760000/PdMM2cD5_normal.jpg,8606,BySeanMalcolm,"Writer. @TRL @PlayersTribune, @GlobalGrind, @XXL, @VibeMagazine, @EbonyMag, @BET, @KINGMagazine et al., Gem Dropper. @MSNBC, @PIX11News, @LifeandTimes.",Sat Aug 22 11:50:30 +0000 2009,36.4889409,-119.4743419,67872950,2134,0,,KingsCounty,Nets,,,,,,,,,
NBA,,-883556352,#NBA | Transmisión #EnDIRECTO➡📺💻📱  🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/On3yoxATEB,Sports Bet Parley,https://pbs.twimg.com/profile_images/963423088665866240/--LXAAmM_normal.jpg,5971,sportsbetparlay,#Tv En Vivo #NBA #EuropaLeague 📺 Television por Internet #EnVivo #LigaMX #F1 #MLB #ChampionsLeague,Sun Aug 16 22:48:10 +0000 2015,12.6886,-59.805666,-868119457,4048,0,https://twitter.com/i/web/status/971235213052346368,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
NBA,,1482149888,#NBA | Transmisión #EnDIRECTO➡📺💻📱 🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/j4hE4hX6mM,Sportplay Card,https://pbs.twimg.com/profile_images/687481883064713216/1FxrrOhe_normal.jpg,609,sportplaycard,Tarjeta Prepagada para Apuestas deportivas y mucho Mas ...,Thu May 07 23:26:13 +0000 2015,12.6886,-59.805666,-1053758579,394,0,https://twitter.com/i/web/status/971231246868271104,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
NBA,,-979922942,#NBA | Transmisión #EnDIRECTO➡📺💻📱 🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/GmPfw5KfOh,Sports Bet Parley,https://pbs.twimg.com/profile_images/963423088665866240/--LXAAmM_normal.jpg,5971,sportsbetparlay,#Tv En Vivo #NBA #EuropaLeague 📺 Television por Internet #EnVivo #LigaMX #F1 #MLB #ChampionsLeague,Sun Aug 16 22:48:10 +0000 2015,12.6886,-59.805666,-868119457,4048,0,https://twitter.com/i/web/status/971231235816263682,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
NBA,,1989664768,#NBA |  #EnDIRECTO➡📺💻📱  🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes | #DubNation |… https://t.co/NgC5J0MNT6,Sports Bet Parley,https://pbs.twimg.com/profile_images/963423088665866240/--LXAAmM_normal.jpg,5971,sportsbetparlay,#Tv En Vivo #NBA #EuropaLeague 📺 Television por Internet #EnVivo #LigaMX #F1 #MLB #ChampionsLeague,Sun Aug 16 22:48:10 +0000 2015,12.6886,-59.805666,-868119457,4048,0,https://twitter.com/i/web/status/971230371202457600,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,DubNation,,,,,,
brooklyngrit,,-1428713472,Time to shock the world #brooklyngrit,Zo,https://pbs.twimg.com/profile_images/892930808511463424/MhTTv73I_normal.jpg,431,zogamble3,"C/O 17 CJ. BGSU '21🔶⚫️. Dayton, Ohio. instagram: datdudezo__ #937.",Wed Mar 06 14:06:03 +0000 2013,,,1246164198,580,-0.25,,,,,,,,,,,,
NBA,,47636486,#NBA | Transmisión #EnDIRECTO➡📺💻📱  🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/CwkvbpZK4O,Sports Bet Parley,https://pbs.twimg.com/profile_images/963423088665866240/--LXAAmM_normal.jpg,5971,sportsbetparlay,#Tv En Vivo #NBA #EuropaLeague 📺 Television por Internet #EnVivo #LigaMX #F1 #MLB #ChampionsLeague,Sun Aug 16 22:48:10 +0000 2015,12.6886,-59.805666,-868119457,4048,0,https://twitter.com/i/web/status/971226632638881798,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
NBA,,-447348736,#NBA | Transmisión #EnDIRECTO➡📺💻📱  🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/0P4FVxmzN4,Sports Bet Parley,https://pbs.twimg.com/profile_images/963423088665866240/--LXAAmM_normal.jpg,5971,sportsbetparlay,#Tv En Vivo #NBA #EuropaLeague 📺 Television por Internet #EnVivo #LigaMX #F1 #MLB #ChampionsLeague,Sun Aug 16 22:48:10 +0000 2015,12.6886,-59.805666,-868119457,4048,0,https://twitter.com/i/web/status/971225944949129216,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
NBA,,2044186624,#NBA | Transmisión #EnDIRECTO➡📺💻📱  🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/EbRgTs5XYG,Sports Bet Parley,https://pbs.twimg.com/profile_images/963423088665866240/--LXAAmM_normal.jpg,5971,sportsbetparlay,#Tv En Vivo #NBA #EuropaLeague 📺 Television por Internet #EnVivo #LigaMX #F1 #MLB #ChampionsLeague,Sun Aug 16 22:48:10 +0000 2015,12.6886,-59.805666,-868119457,4048,0,https://twitter.com/i/web/status/971225852951384064,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
NBA,,-1676177407,#NBA | Transmisión #EnDIRECTO➡📺💻📱  🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/cTwrEpuw0O,Sports Bet Parley,https://pbs.twimg.com/profile_images/963423088665866240/--LXAAmM_normal.jpg,5971,sportsbetparlay,#Tv En Vivo #NBA #EuropaLeague 📺 Television por Internet #EnVivo #LigaMX #F1 #MLB #ChampionsLeague,Sun Aug 16 22:48:10 +0000 2015,12.6886,-59.805666,-868119457,4048,0,https://twitter.com/i/web/status/971223048912343041,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
NBA,,861376512,#NBA | Transmisión #EnDIRECTO➡📺💻📱 🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/GRjMREQJO2,tvsportonlinehd,https://pbs.twimg.com/profile_images/966047837988454400/rrbPgepO_normal.jpg,6,tvsportonlinehd,,Fri Jan 05 17:59:04 +0000 2018,,,-2095656960,35,0,https://twitter.com/i/web/status/971222694967611392,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
NBA,,2086129665,#NBA | Transmisión #EnDIRECTO➡📺💻📱 🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/T01lWy9E73,@Miparley,https://pbs.twimg.com/profile_images/674044794579079169/pPPMFxii_normal.jpg,1285,myparley,#Futbol #NBA #MBL #Tenis #Formula1 #Ciclismo #Basquet #Boxeo,Mon Nov 23 03:39:20 +0000 2015,,,-40574149,327,0,https://twitter.com/i/web/status/971222618882953217,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
NBA,,-1663639552,#NBA | Transmisión #EnDIRECTO➡📺💻📱 🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/xF3MiA7UT0,Sports Bet Parley,https://pbs.twimg.com/profile_images/963423088665866240/--LXAAmM_normal.jpg,5971,sportsbetparlay,#Tv En Vivo #NBA #EuropaLeague 📺 Television por Internet #EnVivo #LigaMX #F1 #MLB #ChampionsLeague,Sun Aug 16 22:48:10 +0000 2015,12.6886,-59.805666,-868119457,4048,0,https://twitter.com/i/web/status/971222606543249408,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
