hashtags/0,mentions/0,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/id,user/friends,sentient,urls/0,urls/1,user/location/lat,user/location/long,mentions/1,mentions/2,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,mentions/3,mentions/4,hashtags/6,hashtags/7,mentions/5,urls/2
hornets,,454483975,Charlotte Hornets’ Guard Michael Carter-Williams To Undergo Season Ending Surgery https://t.co/zsKHDxsIh8 #hornets… https://t.co/HEuXrlBcA5,"WCCB, Charlotte's CW",https://pbs.twimg.com/profile_images/875424780869976064/rQ5MCcJ6_normal.jpg,80888,WCCBCharlotte,"WCCB, Charlotte's CW is your source for news, sports, weather & entertainment. *If you mention us you consent to WCCB using your content.",Wed Jun 11 01:54:48 +0000 2008,15080288,1420,0,http://ow.ly/jXyS30iRtx7,https://twitter.com/i/web/status/972260843990736903,35.39313300000001,-80.670104,,,,,,,,,,,,,
BuzzCity,Charlotte Hornets PR,2094456833,RT @HornetsPR: OFFICIAL: @hornets have transferred two-way player Marcus Paige back to @greensboroswarm of @nbagleague #BuzzCity,Glenda Staten,https://pbs.twimg.com/profile_images/717480511254343681/khgQymGa_normal.jpg,5097,glendastaten,"Retired Army Veteran...I love God, photography, history, sports, genealogy, movies, and reading. I believe in #love #diversity #kindness & #positivity",Thu Feb 12 08:42:30 +0000 2009,20662625,5624,-0.125,,,36.5881568,-75.400119,Charlotte Hornets,Greensboro Swarm,,,,,,NBA G League,,,,,
Hornets,(((Mike Reader))),-539566079,"RT @mreader: Is Charlotte #Hornets star Kemba Walker willing to ride out another rebuild? ... From @rick_bonnell

https://t.co/vNoFfqKDUZ…","Arthurlee L. Mitchell, Jr.",https://pbs.twimg.com/profile_images/950175122366767104/k4x_mqbj_normal.jpg,2052,Arthurlee_M,"Geek, Carolina Panthers Fan, Charlotte Hornets Fan, Fan of Univ. of S.C. Gamecocks, father of 1, native of John's Island, SC & SMC '95 & Newberry College '97",Sat Jun 12 00:41:45 +0000 2010,154709971,2697,0.25,http://www.charlotteobserver.com/sports/nba/charlotte-hornets/article204395169.html,,,,Rick Bonnell,,,,,,,,,,,,
Hornets,(((Mike Reader))),93769732,"RT @mreader: Is Charlotte #Hornets star Kemba Walker willing to ride out another rebuild? ... From @rick_bonnell

https://t.co/vNoFfqKDUZ…",Rick Bonnell,https://pbs.twimg.com/profile_images/876599836669333504/K-_zIpOE_normal.jpg,24046,rick_bonnell,I cover the NBA and the Charlotte Hornets for the Charlotte Observer.,Sat Sep 10 14:42:01 +0000 2011,371271630,118,0.25,http://www.charlotteobserver.com/sports/nba/charlotte-hornets/article204395169.html,,35.39313300000001,-80.670104,Rick Bonnell,,,,,,,,,,,,
Hornets,(((Mike Reader))),-166244351,"RT @mreader: Is Charlotte #Hornets star Kemba Walker willing to ride out another rebuild? ... From @rick_bonnell

https://t.co/vNoFfqKDUZ…",Charlotte Observer,https://pbs.twimg.com/profile_images/771081413030453249/keFMxmLB_normal.jpg,233904,theobserver,Updates from staffers at The Charlotte Observer.,Wed Sep 05 22:01:17 +0000 2007,8695932,689,0.25,http://www.charlotteobserver.com/sports/nba/charlotte-hornets/article204395169.html,,35.39313300000001,-80.670104,Rick Bonnell,,,,,,,,,,,,
Hornets,Rick Bonnell,1557651457,Is Charlotte #Hornets star Kemba Walker willing to ride out another rebuild? ... From @rick_bonnell… https://t.co/L97X387Q5G,(((Mike Reader))),https://pbs.twimg.com/profile_images/807482014672814081/aVn1xwAr_normal.jpg,1793,mreader,Charlotte Observer Sports producer. Retweet ≠ endorsement; #IBlockTrolls,Wed Nov 28 18:54:00 +0000 2007,10682742,2644,0.25,https://twitter.com/i/web/status/972257988940652545,,35.39313300000001,-80.670104,,,,,,,,,,,,,
kumhotirereplay,Charlotte Hornets,257294336,RT @hornets: Malik draws in the defense and dishes to Cody for the slam. 🔥🏀🔥 @KumhoTireUSA #kumhotirereplay #BKNatCHA #buzzcity https://t.c…,Caleb Lehaceanu™,https://pbs.twimg.com/profile_images/957459421944270853/DEzCgqLl_normal.jpg,43,lehaceanu13,track/xc⚡️📍Henryville hornets 🐝 #MVP2016 #MVP2017,Sat Jan 07 23:50:03 +0000 2017,-1479114751,266,0,,,,,Kumho Tire USA,,BKNatCHA,buzzcity,,,,,,,,,
Nba,,1029169152,"#Nba

RESULTADOS NBA 8/3

#WeGoHard 125 x 111 #BuzzCity
#HereTheyCome 99 x 108 #HeatCulture
#Celtics 117 x 109… https://t.co/2cvN4dQy8f",The Fair Play,https://pbs.twimg.com/profile_images/952591260770078720/_ceWhXLK_normal.jpg,345,thefairplaybr,Feito por torcedores para torcedores.,Sun May 21 17:32:43 +0000 2017,1578594304,124,0,https://twitter.com/i/web/status/972254075696963584,,,,,,WeGoHard,BuzzCity,HereTheyCome,HeatCulture,Celtics,,,,,,
BuzzCity,Adrian Wojnarowski,-1982345215,@wojespn What else is new with this guy another terrible injury for the young journeyman #BuzzCity,Mark Newton,https://pbs.twimg.com/profile_images/964028936584925184/BL6YFyKy_normal.jpg,126,marknewton39,"Pressure is only imagined, #GodSpeed",Thu Jan 12 12:49:26 +0000 2012,461992545,69,-1.125,,,,,,,,,,,,,,,,,
Charlotte,,-539500543,Made it to the Spectrum Center to watch the #Charlotte #Hornets play!  #mystadiumtravels #sports #Basketball #nba… https://t.co/7Yx9QuJQvC,Stadium Traveler,https://pbs.twimg.com/profile_images/956330323972849664/0iHZUXKz_normal.jpg,39,TravelerStadium,https://t.co/5vxyW5N6OT…,Thu Jan 25 00:52:39 +0000 2018,-598224889,357,0,https://twitter.com/i/web/status/972251445608308737,,,,,,Hornets,mystadiumtravels,sports,Basketball,nba,,,,,,
