urls/0,hashtags/0,hashtags/1,mentions/0,mentions/1,mentions/2,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/location/lat,user/location/long,user/id,user/friends,sentient,hashtags/2,urls/1,urls/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,mentions/3,mentions/4,mentions/5,hashtags/8,hashtags/9,hashtags/10
,NBA,Pacers,,,,-1390964731,"#NBA 

FINAL

Atlanta Hawks 87
Indiana Pacers 112

#Pacers #TrueToAtlanta https://t.co/SjL66xWrBL",Legado NBA,https://pbs.twimg.com/profile_images/961713180698447873/JPRX950M_normal.jpg,304,LegadoNBA,"Manu nos hizo amar el básquet. Nosotros continuamos su legado. Información, opinión, el mejor baloncesto del mundo en un solo lugar! 🏀",Fri Aug 25 05:36:44 +0000 2017,,,466878464,321,0,TrueToAtlanta,,,,,,,,,,,,,
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,299323393,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",Ryan Thurman,https://pbs.twimg.com/profile_images/934100409924440064/O2kF4Yy__normal.jpg,2664,StrokeGame24,Writer For @AtlHawks_Talk 📝🏀 Fort Valley State University,Sat Aug 13 01:09:29 +0000 2011,,,354028305,1756,0,,,,,,,,,,,,,,
https://twitter.com/hawksonfsse/status/972283113064804352,AirCollins,TruetoAtlanta,Atlanta Hawks,,,-321482752,#AirCollins #TruetoAtlanta @ATLHawks https://t.co/Rlpjjf3j4S,foot lettuce,https://pbs.twimg.com/profile_images/964919455993253888/cQS1Hf4w_normal.jpg,204,just_joe1243,atl | musician | 110717 CAP ❤️ | hawks fan,Sun Jul 15 01:41:38 +0000 2012,,,635806499,154,0,,,,,,,,,,,,,,
http://Pacers.com,TruetoAtlanta,,,,,1876176897,"Halftime Rewind: Pacers 53, Hawks 37 - https://t.co/JhiQbB79r7 https://t.co/n58OMhl7zB #TruetoAtlanta https://t.co/zfhlszimsq",Atlanta Hawks,https://pbs.twimg.com/profile_images/806146114248380416/1HELCnkp_normal.jpg,37,AHawksNews,The latest Atlanta Hawks news.,Tue Dec 06 14:38:30 +0000 2016,33.8876179,-84.289389,1930915845,10,0,,http://dlvr.it/QKRd8c,,,,,,,,,,,,
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,-635990016,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",Bret,https://pbs.twimg.com/profile_images/962460623832526848/UuW0sDN1_normal.jpg,1065,Bret_A27,An Atlanta sports fan... We will win a ring one day. Go Jackets....UNG’20,Wed Jul 11 07:09:27 +0000 2012,,,632669822,2215,0,,,,,,,,,,,,,,
,Hornets,Hawks,FOX Sports: Hawks,Dillon Pate,,-308842495,"RT @HawksOnFSSE: Congrats to @dilloncamper17 for winning a pair of tickets to the #Hornets vs #Hawks game on 3/15. Don't worry, @HawksOnFSS…",Bob Rathbun,https://pbs.twimg.com/profile_images/841481683585159168/VVlSwGjt_normal.jpg,13463,BobRathbunTV,Atlanta Hawks/Dream/ACC Hoops Play-by-Play Broadcaster Fox and Raycom. Inspirational Keynote Speaker. Instagram: BobRathbunTV,Sat Sep 13 17:53:02 +0000 2008,33.8876179,-84.289389,16274023,4529,-0.125,,,,,,,,,,,,,,
,Hornets,Hawks,FOX Sports: Hawks,Allie a,,-1747464192,RT @HawksOnFSSE: Congrats to @paulsatl for winning a pair of tickets to the #Hornets vs #Hawks game on 3/15. But wait...there's more! @Hawk…,Bob Rathbun,https://pbs.twimg.com/profile_images/841481683585159168/VVlSwGjt_normal.jpg,13463,BobRathbunTV,Atlanta Hawks/Dream/ACC Hoops Play-by-Play Broadcaster Fox and Raycom. Inspirational Keynote Speaker. Instagram: BobRathbunTV,Sat Sep 13 17:53:02 +0000 2008,33.8876179,-84.289389,16274023,4529,-0.125,,,,,,,,,,,,,,
,Hawks,,FOX Sports: Hawks,***Jeff Benedict***,FOX Sports: Hawks,1851187200,RT @HawksOnFSSE: Congrats to @JBen929 for winning a pair of tickets to the #Hawks game on 3/15. Stay tuned...@HawksOnFSSE is giving away mo…,***Jeff Benedict***,https://pbs.twimg.com/profile_images/950617478052438016/qLZn5FgD_normal.jpg,1576,JBen929,#KennesawSt Alum (BS) & #Clemson Alum (MHRD/AL) Common Man. 99 percenter.,Thu Aug 26 02:26:16 +0000 2010,35.0006589,-80.751429,183072525,1080,-0.125,,,,,,,,,,,,,,
,TrueToAtlanta,,,,,-1546375168,#TrueToAtlanta  UNDER 209 🤑💵💰✅,Trung Nguyen,https://pbs.twimg.com/profile_images/576133896993046528/WtR3vXEx_normal.jpeg,31,trungkoo,Sports Fanatic! sports bettor! Sports Handicapper. Poker Player.  Proud Catholic. Love new/delicious food.,Sat Jan 26 06:43:28 +0000 2013,,,1121173628,38,0,,,,,,,,,,,,,,
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,-338202624,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",Queen👑,https://pbs.twimg.com/profile_images/856333603306954752/cNWKOeNr_normal.jpg,594,_PerfectFlaws,|MVSU Alumna | IG: _perfectflaws,Mon Jul 26 03:56:15 +0000 2010,,,170929277,742,0,,,,,,,,,,,,,,
