hashtags/0,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/location/lat,user/location/long,user/id,user/friends,sentient,urls/0,mentions/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,mentions/1,mentions/2,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,mentions/3,mentions/4,mentions/5,mentions/6,mentions/7,mentions/8,mentions/9,urls/1
Minnesota,-1709789184,"RT @DonnieWahlberg: Didn’t think I could respect #Minnesota fans more than I did after Super bowl weekend, but after the class they showed…",Tony Schultz,https://pbs.twimg.com/profile_images/967892515318878209/6u7UELWU_normal.jpg,372,TonyPaintball,"MWF Broadcasting - KQ98 Nights, 6th man, Vikings Fan, Coach. I push buttons and hope I don't screw it up. Full time dad. All tweets are my own.",Thu Feb 03 04:23:46 +0000 2011,43.767643,-91.5543699,246630194,848,0.25,,Donnie Wahlberg,,,,,,,,,,,,,,,,,,,,,
warrior,181747713,#warrior #warriors https://t.co/UVcBHkSbr4,Yogesh Sharma,https://pbs.twimg.com/profile_images/803794479060688896/bhqhTz1i_normal.jpg,88,SyogeshS,Founding Director - Mindivik Software Solutions Private Limited,Fri May 20 11:15:46 +0000 2011,13.173706,77.8826809,301965278,1205,0,https://www.instagram.com/p/BgIKAcLhL5-/,,warriors,,,,,,,,,,,,,,,,,,,,
Warriors,1943404546,"#Warriors #Lineup 03/09 #DFS Daily Fantasy NBA Startinglineups  Q. Cook,  K. Thompson,  K. Durant,  D. Green,  J. M… https://t.co/U4BkpUt0S9",Fantasy Alarm,https://pbs.twimg.com/profile_images/943623572651573250/vGB02Lt0_normal.jpg,41161,FantasyAlarm,"Award Winning Playbook Pro, Breaking #FantasyNews, Lineups, & We answer every Question @FantasyAlarm Show M-F 4-6 PM ET @SiriusXMFantasy",Mon Jul 20 19:10:20 +0000 2009,,,58559901,236,0,https://twitter.com/i/web/status/972311599108194306,,Lineup,DFS,,,,,,,,,,,,,,,,,,,
Warriors,349622272,"#Warriors #Lineup 03/09 #DFS Daily Fantasy NBA Startinglineups  Q. Cook,  K. Thompson,  K. Durant,  D. Green,  J. M… https://t.co/Wzsxv4FxLs",NBA Lineups,https://pbs.twimg.com/profile_images/559740023805714434/wgcKN4os_normal.png,10182,NBADailyLineups,The Fastest Way Online To Get Every NBA Lineup As If You Were In The Locker Room...,Mon Dec 26 23:49:01 +0000 2011,,,447499440,13,0,https://twitter.com/i/web/status/972311597514412032,,Lineup,DFS,,,,,,,,,,,,,,,,,,,
Warriors,-1193816064,"#Warriors #Lineup 03/09 #DFS Daily Fantasy NBA Startinglineups  Q. Cook,  K. Thompson,  K. Durant,  D. Green,  J. M… https://t.co/sHBiW929BL",GS Warriors,https://pbs.twimg.com/profile_images/559734447298207744/pLFp3J_N_normal.png,579,FA_Warriors,http://t.co/1GcUt2bcwE,Wed Apr 20 16:47:55 +0000 2011,,,285157760,1248,0,https://twitter.com/i/web/status/972311595970973696,,Lineup,DFS,,,,,,,,,,,,,,,,,,,
Warriors,1637314561,"#Warriors #Lineup 03/09 #DFS Daily Fantasy NBA Startinglineups  Q. Cook,  K. Thompson,  K. Durant,  D. Green,  J. M… https://t.co/ciYjukrZcz",FantasyAlarm NBA,https://pbs.twimg.com/profile_images/560200911071371264/nhdNVqDj_normal.png,4539,NBAFantasyAlarm,"NBA Lineups, Player News and Fantasy Updates",Mon Jan 04 15:59:44 +0000 2010,,,101793892,27,0,https://twitter.com/i/web/status/972311594507137025,,Lineup,DFS,,,,,,,,,,,,,,,,,,,
Celtics,-2045444095,RT @NBA: Can’t teach hustle! #Celtics https://t.co/9KM5mNIPwS,O T E P🤘🖤,https://pbs.twimg.com/profile_images/971603980307410946/S8Y0pxPK_normal.jpg,120,MarkNaval3,Ang qt ni Clarise💞,Sat Nov 18 15:53:20 +0000 2017,,,1066770433,172,0.5,,NBA,,,,,,,,,,,,,,,,,,,,,
WeLoveLA,1024946177,"RT @LosAngelesSRH: #WeLoveLA RT ""#Lakers  🔨 LONZO 🔨 BALL 🔨 https://t.co/Z7mYWlxTge"" #SportsRoadhouse https://t.co/LYrmHU1a6C","The Ball Family, Lakers and Basketball",https://pbs.twimg.com/profile_images/655490042656243712/1FueH7hS_normal.jpg,20,BallfamilyZO2,"The Ball Family | Lakers | Basket Ball is here to bring you all the latest and best news and commentary surrounding the ball family, the Lakers and basketball.",Fri May 02 14:45:19 +0000 2014,18.087991,-76.18032099999999,-1820841602,74,0,,LosAngelesSRH,Lakers,SportsRoadhouse,,,,,,,,,,,,,,,,,,,
LakeShow,282394625,Let's Go @Lakers  #LakeShow #Lakers https://t.co/5zdJeGwiY4,Matt,https://pbs.twimg.com/profile_images/969349272469618688/UjkvAs2M_normal.jpg,499,MishalQuiring,Montesorrian /Jilian / Drummer/ Player/ Believer. ☝🏻️,Mon May 01 08:11:33 +0000 2017,,,1037352960,344,0,https://twitter.com/NBA/status/972309170472005632,Los Angeles Lakers,Lakers,,,,,,,,,,,,,,,,,,,,
Warriors,479514624,Quinn Cook From the Santa Cruz #Warriors is playing for Curry tonight. I heard he leads the G League in scoring.. #blazers,lowtempo,https://pbs.twimg.com/profile_images/774729917678223360/05oV6wJV_normal.jpg,128,lowtempo,"Im an IT Engineer, stock investor, uncle who likes to run and hike, ride a mountain bike and scuba dive.",Wed Jun 10 21:38:31 +0000 2009,38.8642448,-121.208178,46233335,889,0.125,,,blazers,,,,,,,,,,,,,,,,,,,,
